City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Grindavik,IS,2019-11-12 03:28:30,63.84,-22.43,37.4,93,75,6.93,light intensity drizzle,0.0,0.0
1,Ushuaia,AR,2019-11-12 03:28:30,-54.81,-68.31,46.4,81,40,5.82,scattered clouds,0.0,0.0
2,Avarua,CK,2019-11-12 03:28:29,-21.21,-159.78,77.0,78,45,14.99,scattered clouds,0.0,0.0
3,Punta Arenas,CL,2019-11-12 03:28:31,-53.16,-70.91,42.8,87,92,3.36,overcast clouds,0.0,0.0
4,Isangel,VU,2019-11-12 03:28:31,-19.55,169.27,82.4,51,20,17.22,few clouds,0.0,0.0
5,Khatanga,RU,2019-11-12 03:28:31,71.98,102.47,-2.3,98,100,3.96,light snow,0.0,0.31
6,Brainerd,US,2019-11-12 03:28:32,46.36,-94.2,7.0,60,1,6.93,clear sky,0.0,0.0
7,Cape Town,ZA,2019-11-12 03:27:52,-33.93,18.42,66.0,88,75,3.36,broken clouds,0.0,0.0
8,New Norfolk,AU,2019-11-12 03:28:32,-42.78,147.06,57.2,33,40,26.4,shower rain,0.0,0.0
9,Atar,MR,2019-11-12 03:28:32,20.52,-13.05,65.61,27,0,6.2,clear sky,0.0,0.0
10,Codrington,AU,2019-11-12 03:28:32,-28.95,153.24,98.6,11,0,12.75,clear sky,0.0,0.0
11,Yellowknife,CA,2019-11-12 03:28:33,62.45,-114.38,5.0,77,75,9.17,light snow,0.0,0.0
12,Kapaa,US,2019-11-12 03:23:43,22.08,-159.32,82.4,88,90,8.05,light rain,0.0,0.0
13,Kenai,US,2019-11-12 03:28:33,60.55,-151.26,37.99,74,1,8.05,clear sky,0.0,0.0
14,Lagoa,PT,2019-11-12 03:28:33,37.14,-8.45,57.2,71,33,9.17,scattered clouds,0.0,0.0
15,Beyneu,KZ,2019-11-12 03:28:33,45.32,55.19,38.75,52,0,12.39,clear sky,0.0,0.0
16,Saurimo,AO,2019-11-12 03:28:33,-9.66,20.4,63.09,97,94,3.18,overcast clouds,0.0,0.0
17,Iqaluit,CA,2019-11-12 03:28:34,63.75,-68.52,19.4,79,90,18.34,light snow,0.0,0.0
18,Ilhabela,BR,2019-11-12 03:28:34,-23.78,-45.36,73.83,82,100,24.23,light rain,1.44,0.0
19,Riyadh,SA,2019-11-12 03:28:34,24.63,46.72,60.8,77,40,5.01,scattered clouds,0.0,0.0
20,Buala,SB,2019-11-12 03:28:34,-8.15,159.59,84.22,73,37,10.51,scattered clouds,0.0,0.0
21,Jamestown,AU,2019-11-12 03:28:34,-33.21,138.6,63.59,32,0,19.86,clear sky,0.0,0.0
22,Busselton,AU,2019-11-12 03:28:34,-33.64,115.35,75.99,25,0,12.15,clear sky,0.0,0.0
23,Tuktoyaktuk,CA,2019-11-12 03:28:35,69.44,-133.03,10.4,85,90,19.46,light snow,0.0,0.0
24,Hobart,AU,2019-11-12 03:28:35,-42.88,147.33,57.2,33,40,26.4,shower rain,0.0,0.0
25,Hilo,US,2019-11-12 03:28:35,19.71,-155.08,82.4,65,75,4.7,broken clouds,0.0,0.0
