City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
2,2,Avarua,CK,2019-11-12 03:28:29,-21.21,-159.78,77.0,78,45,14.99,scattered clouds,0.0,0.0
22,22,Busselton,AU,2019-11-12 03:28:34,-33.64,115.35,75.99,25,0,12.15,clear sky,0.0,0.0
28,28,Salalah,OM,2019-11-12 03:28:36,17.01,54.1,75.2,69,0,2.24,clear sky,0.0,0.0
35,35,San Policarpo,PH,2019-11-12 03:28:37,12.18,125.51,77.9,87,100,15.23,light rain,1.31,0.0
36,36,Inhambane,MZ,2019-11-12 03:28:37,-23.87,35.38,75.06,79,100,12.71,light rain,0.44,0.0
39,39,Mitsamiouli,KM,2019-11-12 03:28:38,-11.38,43.28,78.78,78,2,5.03,clear sky,0.0,0.0
42,42,San Luis,AR,2019-11-12 03:26:02,-33.3,-66.34,78.44,43,100,9.44,overcast clouds,0.0,0.0
57,57,Mahebourg,MU,2019-11-12 03:28:42,-20.41,57.7,77.0,94,75,5.82,light intensity shower rain,0.0,0.0
63,63,Touros,BR,2019-11-12 03:28:43,-5.2,-35.46,75.2,83,20,3.36,few clouds,0.0,0.0
68,68,Maxixe,MZ,2019-11-12 03:28:44,-23.86,35.35,75.06,79,100,12.71,light rain,0.44,0.0
72,72,Lorengau,PG,2019-11-12 03:28:44,-2.02,147.27,79.59,87,100,14.99,light rain,1.38,0.0
86,86,Majene,ID,2019-11-12 03:28:47,-3.54,118.97,76.03,89,100,3.24,light rain,1.44,0.0
89,89,Muyuka,CM,2019-11-12 03:28:47,4.29,9.41,78.8,94,75,3.36,broken clouds,0.0,0.0
95,95,Kavieng,PG,2019-11-12 03:28:49,-2.57,150.8,76.69,86,100,5.79,heavy intensity rain,14.81,0.0
105,105,Cayenne,GF,2019-11-12 03:28:51,4.94,-52.33,77.0,94,40,2.24,scattered clouds,0.0,0.0
114,114,Bambous Virieux,MU,2019-11-12 03:28:53,-20.34,57.76,77.0,94,75,5.82,light intensity shower rain,0.0,0.0
117,117,Dagana,MR,2019-11-12 03:28:53,16.52,-15.51,77.0,29,0,2.24,clear sky,0.0,0.0
128,128,Santiago Del Estero,AR,2019-11-12 03:28:55,-27.8,-64.26,77.58,54,100,6.8,overcast clouds,0.0,0.0
154,154,Mansa,IN,2019-11-12 03:29:01,23.43,72.66,77.0,78,0,4.7,mist,0.0,0.0
165,165,Takoradi,GH,2019-11-12 03:29:03,4.89,-1.75,79.83,84,48,8.03,scattered clouds,0.0,0.0
170,170,Faanui,PF,2019-11-12 03:29:04,-16.48,-151.75,78.78,80,1,16.82,light rain,0.5,0.0
171,171,Praia,BR,2019-11-12 03:29:04,-20.25,-43.81,75.2,60,83,12.75,light rain,0.38,0.0
202,202,Georgetown,GY,2019-11-12 03:25:34,6.8,-58.16,77.0,100,20,2.24,few clouds,0.0,0.0
216,216,Phalodi,IN,2019-11-12 03:29:13,27.13,72.36,76.35,29,90,6.24,overcast clouds,0.0,0.0
219,219,Quatre Cocos,MU,2019-11-12 03:29:13,-20.21,57.76,77.0,94,75,5.82,light intensity shower rain,0.0,0.0
